trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
231,False,"{'a': 0.5, 'e': 0.09811376736368599}",20,12,14.4957945020546,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.5, 'e': 0.09713262969004913}",30,5,35.700059447537555,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.09616130339314863}",20,0,26.104775394169117,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
234,False,"{'a': 0.5, 'e': 0.09519969035921715}",25,9,26.587935581935085,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.09424769345562498}",25,11,29.836669777996093,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.5, 'e': 0.09330521652106873}",25,0,-2.1496598603738315,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
237,False,"{'a': 0.5, 'e': 0.09237216435585804}",20,12,14.743135588356028,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.09144844271229946}",25,12,23.299271701071213,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.09053395828517646}",20,2,19.576892877807147,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.08962861870232469}",35,19,7.449249136685373,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.08873233251530144}",25,13,10.955945634204419,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.08784500919014843}",20,9,16.51447290434253,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.08696655909824694}",20,0,25.938317495967098,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
244,False,"{'a': 0.5, 'e': 0.08609689350726446}",30,10,21.507139187355637,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.08523592457219181}",20,7,-19.96745597775592,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
